Config_ID,Config_Name,Index_Type,Datastore,Compression,Query_Processing,Optimization,Index_Time_Seconds,Latency_Mean_ms,Latency_P50_ms,Latency_P95_ms,Latency_P99_ms,Latency_Min_ms,Latency_Max_ms,Throughput_Single_Thread_QPS,Throughput_Multi_Thread_QPS,Throughput_Speedup_Factor,Memory_Index_Size_MB,Memory_Docs_Per_MB,Memory_Growth_MB,Functional_MAP,Functional_Recall,Functional_F1_Score,Functional_NDCG,Functional_Coverage_Rate,Latency_Boolean_Queries_Mean_ms,Latency_Boolean_Queries_P95_ms,Latency_Common_Terms_Mean_ms,Latency_Common_Terms_P95_ms,Latency_Empty_No_Results_Mean_ms,Latency_Empty_No_Results_P95_ms,Latency_Long_Queries_Mean_ms,Latency_Long_Queries_P95_ms,Latency_Multi_Term_Mean_ms,Latency_Multi_Term_P95_ms,Latency_Phrase_Queries_Mean_ms,Latency_Phrase_Queries_P95_ms,Latency_Rare_Terms_Mean_ms,Latency_Rare_Terms_P95_ms,Latency_Single_Term_Mean_ms,Latency_Single_Term_P95_ms
38,SelfIndex_038_WORD_DB1_NONE_Null_DOCa,WORDCOUNT,DB1,NONE,DOCatat,Null,42.81,29.15,20.3,129.67,140.17,0.06,142.28,41.55,24.39,0.587,532.21,93.95,2407.5,0.5,1.5,0.7473,0.9367,1.0,28.81,46.88,18.59,36.8,0.08,0.11,131.83,141.54,35.42,63.01,23.39,45.19,0.74,1.77,17.77,32.97
39,SelfIndex_039_WORD_DB1_NONE_Skip_TERM,WORDCOUNT,DB1,NONE,TERMatat,Skipping,41.61,32.33,21.55,135.65,155.49,0.07,164.13,4.07,30.33,7.452,537.84,92.96,2461.5,0.5,1.5,0.7473,0.9367,1.0,31.88,50.52,22.0,41.37,0.09,0.12,141.42,161.11,41.85,72.51,29.98,56.1,0.83,2.07,16.16,30.62
40,SelfIndex_040_WORD_DB1_NONE_Skip_DOCa,WORDCOUNT,DB1,NONE,DOCatat,Skipping,44.6,14.42,12.73,39.56,49.63,0.06,52.64,30.4,49.94,1.643,537.84,92.96,2432.64,0.5333,1.5833,0.7949,0.8807,1.0,17.65,26.98,20.65,40.56,0.08,0.11,36.94,50.72,15.71,32.38,12.8,25.84,0.61,1.5,12.42,22.88
41,SelfIndex_041_WORD_DB1_CODE_Null_TERM,WORDCOUNT,DB1,CODE,TERMatat,Null,74.03,27.41,16.07,125.88,137.2,0.06,143.87,20.5,44.35,2.163,646.05,77.39,5575.76,0.5,1.5,0.7473,0.9367,1.0,25.66,39.49,19.18,39.02,0.09,0.12,128.25,141.54,34.77,65.03,22.67,42.95,0.78,1.88,12.52,22.81
42,SelfIndex_042_WORD_DB1_CODE_Null_DOCa,WORDCOUNT,DB1,CODE,DOCatat,Null,69.56,31.07,17.03,142.95,162.12,0.06,173.03,11.93,33.76,2.829,646.05,77.39,5444.99,0.5,1.5,0.7473,0.9367,1.0,27.06,44.5,19.67,38.08,0.08,0.11,148.67,169.22,40.59,78.29,26.27,54.15,0.82,2.0,14.08,25.78
43,SelfIndex_043_WORD_DB1_CODE_Skip_TERM,WORDCOUNT,DB1,CODE,TERMatat,Skipping,69.65,28.02,15.2,131.14,143.05,0.06,143.69,12.33,35.5,2.879,646.05,77.39,5406.5,0.5,1.5,0.7473,0.9367,1.0,24.1,39.66,18.6,35.97,0.09,0.12,132.86,143.47,36.43,67.84,22.11,43.47,0.75,1.81,14.19,27.79
44,SelfIndex_044_WORD_DB1_CODE_Skip_DOCa,WORDCOUNT,DB1,CODE,DOCatat,Skipping,69.58,13.37,10.93,45.81,52.36,0.05,53.57,27.85,67.62,2.428,646.05,77.39,5354.24,0.5333,1.5833,0.7949,0.8807,1.0,12.86,21.42,14.29,26.09,0.07,0.09,45.65,53.15,17.16,38.74,10.57,21.24,0.6,1.44,10.7,19.11
45,SelfIndex_045_WORD_DB1_CLIB_Null_TERM,WORDCOUNT,DB1,CLIB,TERMatat,Null,72.03,19.42,12.51,83.56,98.74,0.06,103.42,30.29,17.65,0.583,344.45,145.16,2368.92,0.5,1.5,0.7473,0.9367,1.0,16.46,25.61,12.7,23.08,0.08,0.1,90.31,101.79,26.33,52.29,14.48,26.68,0.74,1.77,10.63,19.68
46,SelfIndex_046_WORD_DB1_CLIB_Null_DOCa,WORDCOUNT,DB1,CLIB,DOCatat,Null,74.8,33.51,12.93,94.26,371.68,0.05,403.74,21.17,19.11,0.902,344.45,145.16,2409.88,0.5,1.5,0.7473,0.9367,1.0,15.99,25.24,64.3,252.76,0.07,0.09,167.39,357.47,26.7,50.66,14.49,26.67,0.76,1.85,10.89,19.98
47,SelfIndex_047_WORD_DB1_CLIB_Skip_TERM,WORDCOUNT,DB1,CLIB,TERMatat,Skipping,75.82,59.35,13.35,366.85,394.85,0.05,395.91,21.05,18.14,0.862,344.45,145.16,2330.37,0.5,1.5,0.7473,0.9367,1.0,76.34,265.0,61.66,244.3,0.07,0.09,311.61,395.54,26.52,50.63,60.07,221.79,0.77,1.85,11.12,20.84
